Description,Rating
"highway engineer/designer the alaimo group mount holly, nj 08060  please mail, e-mail or fax your resume to:  miles powell senior associate alaimo group 200 high street mt. holly, nj 08060 e-mail: mpowell@alaimogroup. com  fax: 609-845-0300   candidates should be self-starters with excellent communication skills. all positions offer excellent salary, benefits and working conditions. please also refer to our listings on job recruitment websites: alaimo group jobs at monster. com   alaimo group is an equal opportunity employer. highway engineer/designer bsce, pe preferred with minimum five years experience in highway and traffic design. knowledge of njdot, njrsis and aashto criteria and standards.",1
"automation engineer motion industries danvers, ma  job description the automation engineer provides design data and integrated systems for collaborative robot systems and other 'light' automation in addition to providing production support for valumanufacturing (vm) projects in alignment with strategy. motion industries' engineers provide the highest levels of knowledge and skills to design and test systems that will enhance our ability to meet the needs of our customers. motion industries offers an excellent benefits package which includes options for healthcare coverage, 401(k), tuition, reimbursement, vacation, sick, and holiday pay. duties: delivers solutions for integrated robotic systems and associate services. evaluates applications for viability, considering risk, complexity and conflict with other si channels. increases division revenue and market scope through identifying additional markets, solutions, and services. oversees build costs, ensuring delivery of systems as budgeted, achieving profit margin rates as built. develops standard system packages to target high potential vertical markets. oversees system build and delivery, ensures delivery of quality systems, and customer satisfaction. schedules production of jobs in collaboration with the vm production supervisor and sales coordinator to meet deadlines. responds to customer requests for quote changes. confirms detailed draw and delivery dates with the customer. performs other duties as assigned. education/experience: typically requires a bachelor's degree in electrical or mechanical engineering with one (1) year of engineering related experience or an equivalent combination. high degree of analytical and mechanical/electrical understanding. highly effective verbal and written communicator. disclaimer: this job description illustrates the general nature and level of work performed by employees within this job classification. it is not intended to contain or be interpreted as a comprehensive inventory of all duties, responsibilities and skills required. management retains the right to add or modify duties at any time.",-1
"rf payload systems engineer mks2 technologies littleton, co  rf payload systems engineer job description: work with rf from the mhz range all the way up through optical systems. rf payloads and subsystems are needed for every platform and serve missions ranging from human space flight, commercial broadband services, national intelligence, protected communications, navigation and more. performing requirements analysis and decomposition, develop specifications and interface design documents for processors, perform architectural updates as necessary. clearance: secret with ability to obtain dod ts basic qualifications - working knowledge in one or more of the following areas: rf circuit analysis, using tools such as agilent ads (advanced design system), ansys hfss (high frequency structure simulator), awr microwave office, or similar tool packages. antenna design and analysis, using tools such as grasp (general responsibility assignment software patterns), hfss, cst microwave studio, wipl-d, feko, or similar tool packages rf payload architecture and performance analysis requirements analysis, decomposition and flow down of rf payloads integration & test of rf components, payloads, and/or subsystems supporting launch and on-orbit operations of rf payloads and/or subsystems communication security (comsec) and transmission security (transec) hardware radar systems electronic ground support equipment (egse) and/or special test equipment (ste) network architecture data object oriented requirements (doors) traceability tool experience in digital communications and signal processing experience in communication system analysis, modeling and simulation. knowledge of rf/mmwave sip/mmic design, layout and simulation techniques experience developing analog/digital interfaces experience with full-life cycle of asic/fgpa development design digital waveform generators, digital receivers, digital on-orbit processors or other digital signal processing applications requirements analysis, decomposition and flow down of rf payloads desired skills: designing active components, such as low noise amplifiers (lnas) , hybrids, linearized traveling wave tube amplifiers (ltwtas), solid state power amplifiers (sspas), oscillators, frequency converters, etc. designing transmitters, receivers, etc. designing antennas and/or feed networks, such as reflectors, waveguide components, horns, helices, phased arrays, etc. architecture, integration, and test of electronically steerable arrays (esa), radar systems, rf and/or digital payloads, telemetry tracking & command (tt&c), or missile communications subsystems. development of analog/digital interfaces certification and training as certified principal engineer (cpe), responsible engineer, or equivalent rf and/or digital payload performance analysis using matlab or similar tools rf and/or digital payload test measurement techniques",-1
"manufacturing engineer ironridge, inc. hayward, ca  summary: ironridge/esdec is seeking a highly motivated, multifaceted, and organized manufacturing engineer with the right blend of knowledge and experience in evaluating, qualifying, integrating, and developing new sources, technologies, and solutions for our new products. the manufacturing engineer will be the technical point of contact for suppliers engaged in preparing production of new products as well as continuous improvement of the manufacturing of existing products. this position will be responsible for the manufacturability of and manufacturing processes for both new products under development as well as existing products undergoing design changes or for support in technical issues. this role is also responsible for proactively working with the ironridge/esdec engineering teams to establish integration of key suppliers into the npi and sustaining engineering activities. essential functions and key responsibilities: manufacturing process development & implementation develops manufacturing processes by studying product requirements; researching, designing, modifying, and testing manufacturing methods and equipment; conferring with equipment vendors. direct and oversee the full lifecycle of a product’s manufacturing process, including design, construction, packaging, and quality control. improves manufacturing efficiency by analyzing and planning workflow, space requirements, and equipment layout. prepares product and process reports by collecting, analyzing, and summarizing information and trends. evaluate current and potential future manufacturing processes by designing and conducting research programs; applying knowledge of product design, fabrication, assembly, tooling, and materials; conferring with equipment vendors; soliciting observations from operators. develop and implement strategies to improve supplier productivity & quality. provides manufacturing decision-making information by calculating production, labor, and material costs; reviewing production schedules; estimating future requirements. assures product and process quality by designing testing methods; testing finished- product and process capabilities; establishing standards; confirming manufacturing processes. create processes and procedures to help the company meet budgetary goals as well as performance quotas. evaluate existing manufacturing processes and workflows to identify areas that could benefit from changes and improvements. completes design and development projects by training and guiding technicians.  design, npi, dfm act as a technical liaison between suppliers, sourcing manager, and the ironridge/esdec engineering teams. participate in brainstorming sessions and cross-departmental meetings to ensure collaborating and cohesion. identify supplier innovation, provide design and manufacturing process direction to the engineering teams to support opportunities for lower total cost. evaluate feasibility and facilitate the implementation of supplier developed solutions & content in ironridge/esdec product offerings. facilitate and lead value analysis and value engineering (va/ve) processes. develop standardized design criteria across all product lines, with a focus on design for manufacturability. apply working knowledge of product design and assembly to the manufacturing process.  supplier selection / auditing / scorecard participate in supplier selection activities by leading efforts related to supplier manufacturing capability assessment, quality improvement, and supplier readiness. participate in the development, application, and administration of supplier scorecards and supplier evaluations.  quality assurance & compliance facilitate and lead root cause problem investigation and resolution. in partnership with the company’s sourcing managers and quality team, develop and maintain tracking or other systems to allow for efficient status reporting capability. maintains product and company reputation by complying with government regulations, communicating compliance requirements to suppliers, and conducting oversight of suppliers to ensure conformance.  new technologies research new technologies with potential to enhance existing product offerings or that could provide new avenues for product solutions. proactively seek new technologies and offer these technologies as solutions where appropriate, and participate to qualify and develop suppliers in accordance with the global sourcing strategy. experience, knowledge, skills, and other requirements: must have hands on experience working with aluminum extruding, casting, forging, forming, machining, stamping, assembly & injection molding. 3-5 years of experience in fast-paced product development cycle & manufacturing. knowledge and some implementing and utilizing process control techniques and process capability analysis for critical dimensions or features. knowledge of root cause analysis, and failure modes effects analysis (fmea) experience with design of experiments (doe). knowledge and experience with problem solving, process, and improvement tools such as lean, six sigma, value stream mapping, and/or va/ve. project management certification (pmp) or project management training. ability to manage multiple projects concurrently. work attitude that exhibits commitment; ability to work with a variety of personalities; persuasion skills, decision making; dependability; flexibility and adaptability. experience troubleshooting manufacturing failures using sound problem solving techniques. solid working knowledge of 3d modelling and drawing development and interpretation. knowledge of engineering change process requirements and controls. must be able to travel ~25% of the time to domestic and international manufacturers. education & training requirements: b. s. in mechanical, manufacturing, or materials engineering. working knowledge of ms office suite, including excel, outlook, ms-word, and powerpoint. project management certification (pmp) or project management training. six sigma training excellent written/verbal communication skills; ability to take data sets and present to target audiences.",1
"outside plant (osp) telecom engineer atco communications beaverton, or  note: this position will be working on caf2 fielding and engineering for the first few months. the outside plant engineer is responsible for fiber optic and copper route engineering, pole line and underground route field documentation, construction permits, project tracking, as-built documentation and electronic records preparation in accordance with company policies, procedures and quality standards, while meeting customer delivery requirements. works with network planning, central office, transmission and operations personnel to support growth, replacements and upgrades of telecommunications plant facilities. principal duties and responsibilities: engineer aerial, underground, and inside fiber optic routes, road moves; copper telephone cable design including size and gauge, cross box design and terminals; rearrangements including cutovers, pair conditioning, cable assignments, loop make ups, bridge taps, splice documents; manage all projects to meet or exceed minimum specifications of construction policies, nesc, nec, osha, state, county and all other applicable agencies; maintain a high level of productivity, assuring timeframes are met for projects occurring simultaneously and track and generate reports on project status; prepare, manage and maintain project documentation, maps and cad drawings. create drawings and records of fiber and copper routes, splice locations, construction notes, bills of materials and project overviews; research and acquire permits, rights of way and easement agreements; respond to dot requests for information and plan for facility relocations; review and record as-built documentation; attend customer meetings; perform site surveys and walk-outs as necessary to comply with customer requirements and time frames; work with multiple customers and prepare all deliverables within each customer's own specifications. qualifications: experience in planning copper and fiber optic network additions and estimating osp projects by detail; familiarity with broadband serving area design; creating engineering projects that place equipment that supports ethernet and broadband dslam installations and the design of the fiber and copper facilities, associated with them as well as facilitating their completion through local construction and operations resources; ability to read and interpret documents such as technical specifications, professional documentation and blueprints; demonstrated skill in the use of autocad, microstation, ms office suite, pole analysis software, gps handheld systems, and other industry-related hardware and software; previous experience using telecommunications engineering systems such as: infinium, m6, frogs/spatial engineer (frontier autocad based gis), dpi/endeavor and varasset preferred; ability to write reports, correspondence and documentation; ability to communicate effectively with vendors, customers and other employees of the organization; some out of town travel and overnight travel may be required; must have a valid driver's license and be insurable; may be able to consider qualified candidate that needs to work remotely.  education a bachelors' or associate degree in a relevant field of engineering or it, and/or three to five years of related experience (technical knowledge of the telecommunications industry and construction practices).",1
"rtl design engineer apple san diego, ca  summary posted: feb 7, 2019 role number:200023475 at apple, we work every single day to craft products that enrich people’s lives. do you love working on challenges that no one has solved yet? do you like changing the game? we have an opportunity for an ambitious and exceptionally talented rtl design engineer. as a member of our dynamic group, you will have the unique and rewarding opportunity to craft upcoming products that will delight and inspire millions of apple’s customers every single day. specify, design, and help in the verification and lab bring-up of advanced mixed-signal circuits (digital side) key qualifications deep knowledge of mixed signal concepts deep knowledge of rtl design deep knowledge of verilog and systemverilog deep knowledge of front-end tools (verilog simulators, linters, clock-domain crossing checkers) proven knowledge of synthesis, static timing, dft, is a plus proven knowledge of systemverilog assertions, checkers, and other design verification techniques are a plus knowledge of scripting languages. perl and python are plusses strong communication and presentation skills description in this job you will be responsible for specifying and/or micro-architecting digital blocks in advanced mixed-signal circuits. you will be also responsible for rtl coding of blocks specified by you or others. you will participate in the design verification and bring-up of such blocks by writing meaningful assertions, debugging code, and otherwise interacting with the design verification team. you will participate in the lab bring-up of those circuits by potentially writing test scripts, analyzing lab data, proposing experiments, etc. education & experience bachelors or masters degree required",-1
"engineer aspen technology bedford, ma 01730  the driving force behind our success has always been the people of aspentech. what drives us, is our aspiration, our desire and ambition to keep pushing the envelope, overcoming any hurdle, challenging the status quo to continually find a better way. you will experience these qualities of passion, pride and aspiration in many ways — from a rich set of career development programs to support of community service projects to social events that foster fun and relationship building across our global community. the role we are looking for experienced software developers to help design and implement game-changing, next-generation capabilities for our market-leading simulation and engineering products. visit us at www. aspentech. com. your impact design, develop, maintain, and support new and existing capabilities for modeling, simulation, design, and rating software for chemicals, oil & gas, and refining processes provide technical support to product management, product marketing, services, and customer and business support on customer activities. work with customers to understand their engineering work processes and modeling requirements. collaborate with product managers, product designers and developers to develop detailed product requirements and specifications for process engineering products. keep current with new and developing technologies as they appear in industry and academia, and assist in determining the feasibility of implementing new technologies. what you'll need bachelor’s degree in chemical engineering or related fields 2-5 years of industrial and/or academic experience in the development of software for modeling, simulation and design of chemicals, oil & gas, and refining processes strong background in numerical methods and mathematical modeling strong computer programming and software development experience, with specific experience in one or more of these languages: c++, c#, wpf experience using software tools for process simulation, design, and rating – experience with aspentech products is a plus. excellent interpersonal, communication, writing and presentation skills. demonstrated ability to convey complex information in a clear and concise manner. english fluency (written and verbal) required.",-1
"engineer (mep design engineers) te2 engineering westwood, ma $50,000 - $100,000 a year salary: $50,000.00 – $100,000.00 per year (dependent on experience)we are seeking a mechanical, electrical and plumbing engineer to join our team of consulting/design engineers in the construction industry. we are looking for experience in either or all of the related disciplines (mechanical- hvac, electrical and/or plumbing), ideally with 5+ years experience and pe license. positive attitude, hard-working and great communication skills most important. autocad experience necessary. we will accept candidates with less experience or without a pe license. these candidates must be able to learn quickly. compensation will reflect experience, technical ability, and qualifications. responsibilities: develop and present schematic designsidentify the correct systems and technologies to utilize for the designdocument design narratives & perform engineering analysisdraft designs in autocadqualifications: 2+ years previous experience in mechanical, electrical and/or plumbing disciplines or other related fields requiredmust have an engineering degree from an accredited college or university3+ years autocad experience requiredfamiliarity with the construction/consulting engineering industry requiredstrong problem solving and critical thinking skillsability to prioritize and multitaskindeed hire and te2 engineering are working together to find the best candidate for this job. by applying, you agree to be contacted by our agent, indeed hire, and receive updates via text and phone about your application. job type: full-timepay: $50,000.00 - $100,000.00 per yearexperience:autocad: 2 years (required)construction/consulting : 1 year (required)mechanical, electrical and/or plumbing: 3 years (required)education:bachelor's (required)license:pe license (preferred)job distance:westwood, ma: between 31 and 40 miles (preferred)",1
"controls engineer broetje automation chicago, il 60606  broetje automation is the world's leading expert & oem in aircraft manufacturing automation and robotics, working with the top names in our industry. worldwide locations include germany, usa, france, united kingdom, russia, china, and japan. us locations include buffalo (ny), chicago (il), charleston (sc), savannah (ga), wichita (ks), detroit (mi), mobile, (al) and seattle (wa). education & experience: bs in electrical engineering plus 3+ years in industrial automation industry or equivalent experience qualifications experience designing large automated systems from initial concept through installation and customer buy off strong fundamental understanding of electrical design practices, machine/motion control systems, electro-mechanical systems, programming, and system integration extensive experience in iec61131 (plc programming languages) strong communication skills & ability to interact with teams, clients, and vendors ability to analyze and diagnose automation problems experience designing and assembling electrical cabinets and layouts familiarity with e-plan software desirable experience (not required) electrical hardware and cabinet design c programming experience job responsibilities provide electrical and controls engineering expertise for the design of new equipment & system introductions internal subject matter expert in control systems (plc, hmi, motion control systems), system integration, sensors, & electromechanical devices apply knowledge of electronics, electrical circuits, mechanics, pneumatics, and programming work to develop training procedures and documentation for us-based field service develop plc programming within broetje's standard for new systems as well as existing equipment retrofits and modifications occasional travel to customer sites for machine commissioning train customer's staff & new technicians in machine operation as needed maintain logs & written records of duties performed compensation/benefits competitive hourly wage plus overtime 401(k) company match 100% paid healthcare coverage (medical, dental, vision) disability plan & group life insurance program three weeks paid time off (pto) plus ten paid holidays tuition reimbursement program international travel opportunities (germany) www. broetje-automation. com and www. youtube. com/user/broetjeautomation wivq9a3sun",1
"application engineer (engineering services) s & c electric company chicago, il 60626  s&c’s services division is seeking a power systems engineer with relay programing experience to work with our global application engineering team. as a member of this diverse, highly collaborative team, you’ll provide automation solutions to meet our customers’ application needs by integrating ieds with s&c smart grid equipment. you’ll contribute to our continuous improvement by providing customer insights when working with product managers, product engineers, quality engineers, and others. the key attributes to be successful in this position are: contribute to open communication and collaboration by sharing and exchanging information take a proactive, tenacious approach to problem solving commit to your personal development create and maintain customer relationships that are built on a foundation of consistent, high quality service delivery utilize technical expertise to determine appropriate solutions for customers this role involves a mix of office work and hands-on work using tools and testing instruments in a factory environment. the position is based in chicago, il at s&c’s world headquarters. approximately 20% travel is required. the responsibilities of this position include, but are not limited to, the following: perform application review of customer specification during pre-sales process to assess best solution. design protection and control equipment to meet customer needs. must be able to read, understand and markup engineering schematics/drawings. develop configuration files for ieds (intelligent electronic devices): relays, rtus, data concentrators, protocol converters, and remote io devices from manufacturers such as sel, siemens, ge, etc. perform factory acceptance testing prior to equipment shipment on associated projects. this includes developing the test plan, setting up the switchgear and test equipment, performing customer-witnessed testing, and writing the final report. conduct training sessions for customers and s&c personnel. communicate effectively with customers while performing tasks such as application review, project implementation, and testing. includes telephone support for s&c personnel and customers, as well as on-site visits when needed. recognize and adhere to standard industry safety practices and s&c safety procedures. work effectively in a team environment with other s&c employees, contractors, consultants, customers, etc. to select this job as one of interest to you, at a minimum, you must have the following: bachelor’s degree in engineering or equivalent experience, preferably electrical. knowledge of power distribution system principles such as protection, control, and reliability and familiarity with equipment and applications. experience with different manufacturers' relays and controls, such as sel, siemens, ge, etc. in-depth knowledge of preparing and interpreting control schematics and wiring diagrams. working knowledge of dnp3.0 protocol. ability to communicate effectively both written and verbally. proficient with microsoft office. major physical demands standing: up to 8 hours lifting: 50 lbs walking: yes, dependent upon equipment and project requirements. carrying: yes, dependent upon equipment and project requirements. pushing: yes, dependent upon equipment and project requirements. pulling: yes, dependent upon equipment and project requirements. bending: yes, dependent upon equipment and project requirements. reaching: yes, dependent upon equipment and project requirements. handling: yes, dependent upon equipment and project requirements. environment: office and factory.  number of openings: 1.00  employment status: exempt  employment classification: full time  shift: 1  core working hours: 8:00 a. m. - 5:00 p. m.  s&c electric company is a global provider of equipment and services for electric power systems. founded in 1911, the chicago-based company designs and manufactures switching, protection, and control products for electric power transmission and distribution. s&c has global offices in the united states, mexico, canada, brazil, the uk, and australia. s&c continues to advance new solutions for electric power delivery systems as the electric grid undergoes transformative changes in the 21st century. utilities are working to integrate renewable energy sources, address peak loading issues, and manage the needs of electric vehicles. looking at an increasingly complex and dynamic grid, s&c is working closely with it's electric utility customers to understand their electric grids and business challenges they face – then innovating solutions to address their power-delivery challenges. additionally, s&c offers a wide range of engineering, laboratory, testing, and field services for electric utilities and commercial and industrial power systems.",-1
"systems engineer -- launch vehicle navigation blue origin kent, wa 98032  description: as part of a small, passionate and accomplished team of experts, you will work on the inertial navigation system for the new glenn launch vehicle. you will work across subsystems and support integrated solutions to achieve our vision of “millions of people living and working in space”. you will support systems engineering practices across disciplines predicated to a high degree on your technical skills in one or more areas of analysis, design, or integrated testing. you will develop, allocate, manage, and verify requirements and interfaces using tools like doors next gen and other functional analysis packages. your activities may include engagement in conducting trade studies, developing margins for allocations, risk and change management, gated reviews, fault analysis, proposals, test planning, technical performance management, configuration and data management, and regulatory compliance. this position will directly impact the history of space exploration and will require your dedicated commitment and detailed attention towards safe and repeatable spaceflight. responsibilities: support navigation system development by carrying out systems engineering activities in accordance with blue origin standards and practices, engaging in tailoring required processes to complete tasks assigned including: requirements decomposition, analysis, traceability, and verification functional and systems analysis, technical performance monitoring, development and maintenance of system analysis documentation, participation in gated design and production reviews, develop and mature concept of operations documents analyzing requirements to develop verification strategies demonstrating requirements verification skills on complex, integrated systems qualifications: minimum of a b. s. degree in engineering or other technical field 5 to 10+ years of current technical hands-on experience in at least one of the following areas: analysis design integrated testing 5 to 10+ years of current technical hands-on experience in at least one of the following focused disciplines: avionics or electrical hardware and/or software inertial and/or gnss navigation systems spacecraft guidance and control system mindset and aptitude good communication skills, ability to work effectively with minimal oversight good execution and coordination skills experience in formal system engineering practices must be a u. s. citizen or national, u. s. permanent resident (current green card holder), or lawfully admitted into the u. s. as a refugee or granted asylum. desired: system development/integration experience, preferably with aerospace hardware knowledge of current systems engineering and integration tools and methodologies experience with systems engineering tools such as doors next gen experience in reliability, maintainability and operability analysis and execution experience with collaboration tools such as confluence and jira blue origin offers a phenomenal work environment and awesome culture with competitive compensation, benefits, 401k, and relocation.   blue origin is an equal opportunity employer . in addition to eeo being the law, it is a policy that is fully consistent with blue's principles. all qualified applicants will receive consideration for employment without regard to status as a protected veteran or a qualified individual with a disability, or other protected status such as race, religion, color, national origin, sex, sexual orientation, gender identity, genetic information, pregnancy or age. blue origin prohibits any form of workplace harassment.",1
"mechanical test engineer (lab technician) pyramid portland, or $30 an hour familiarity with various mechanical testing techniqueshands-on experience with quality management systems (qms)knowledge of quality standards and regulationsgreat troubleshooting skillsanalytical mindsetadditional certification in quality assurance is a plusjob type: contractpay: $30.00 per hourexperience:mechanical testing tools: 5 years (preferred)matlab/ labview: 5 years (preferred)",-1
"mechanical design engineer essential design boston, ma  we are seeking a talented and driven engineer with a passion for user-centered design to join our accomplished team in downtown boston. this candidate is a creative, curious, and collaborative mechanical design engineer with meaningful product development experience. responsibilities work collaboratively in a multidisciplinary development team, taking responsibility for a wide range of tasks from brainstorming to detailed engineering development. conceptualize and develop new products, parts, mechanisms, and assemblies possessing a high level of sophistication, complexity, and practicality. utilize solidworks effectively to produce a range of meaningful deliverables, including 3d mechanical design, manufacturing tolerance analyses, and 2d production-level documentation of components and assemblies. engage and manage outside vendors for prototyping, gathering manufacturability feedback and cost and lead-time estimates. apply basic shop practices to create functional models in order to assess concept feasibility. assemble prototypes, generate test plans, conduct tests, and create reports and other documentation tailored to project/client needs. provide technical consultation to multi-disciplinary design teams with respect to fundamental engineering principles, manufacturing feasibility, and technical risks. qualifications b. s. in mechanical engineering or other engineering discipline required, m. s. preferred. minimum 2-3 years of design engineering experience in technology, medical, and/or consumer products, demonstrating technical and manufacturable solutions. both industry and design consultancy experience desired. medical device experience is a plus. us citizens or green card holders only at this time ability to generate robust 3d databases, mechanical drawings, prototypes, and written reports. 3d cad experience a must. solidworks proficiency strongly preferred. practical knowledge of statics, dynamics, strength of materials, thermal and fluid design, and the ability to effectively apply such knowledge in a fast-paced environment. working knowledge of a wide variety of manufacturing processes, including injection molding, rapid prototyping, sheet metal fabrication, casting, and machining. excellent capacity for both logical reasoning and creative thinking as evidenced by the ability to invent, conceptualize, and abstract. high level of personal commitment to quality, with demonstrated thoroughness and attention to detail in all phases of a project. excellent communication and interpersonal skills, highlighted by a flexible and collaborative working style. strong understanding and appreciation for industrial design, interaction design, and user research preferred. passion for learning and an ability to “get smart fast”. impress us with: electro-mechanical experience, demonstrated success in mechanism development and the ability and willingness to fabricate, test, and debug prototypes. experience in the areas of fea, dfma, dfmea, and tolerance analysis. ability to create electronics prototypes to support testing and data acquisition, explore technology possibilities, and create interactive prototypes. functional and/or creative coding experience using software tools such as matlab, labview, python, ruby, c/c++, processing, openframeworks, html/css/javascript, etc. more about us essential design, located in boston, has developed an award-winning portfolio of products and services in collaboration with clients from consumer, commercial, and medical domains – ranging from start-ups to fortune 500s. our work bridges physical and digital products and services. as a result, our design team aims to enhance holistic user experiences. a cross-section of our recent work includes consumer products, professional equipment, medical devices, health and wellness platforms/communities, ‘green' building initiatives, and athletic performance monitoring systems. our office is a casual, loft-like, studio atmosphere with very convenient access to public transit. essential provides competitive compensation and benefits packages.",1
"process engineer nusano inc. united states  job ref: n/a about nusano  we are an early phase company committed to advancing the way radioisotopes are made. nusano represents the first true turning point in the history of the field of radioisotope manufacturing since the advent of the cyclotron. by augmenting a standard linear accelerator with a proprietary high-current multiparticle ion source, our solution can generate radioisotopes with a very high yield and specific activity and is poised to become the state-of-the-art technology.  our technology is uniquely suited for the generation of therapeutic radioisotopes. these radioisotopes, while historically challenging to produce in quantities and for the cost that allow for robust growth of the field, are on the precipice of widespread clinical use for personalized cancer therapy. nusano is uniquely positioned to support and foster the growth of this important application.  nusano is founded on the idea that the greatest scientific asset isn’t raw material or technology but vision — and the freedom to follow that vision wherever it leads. so, while the treatments of tomorrow will surely be built on advanced physics and sophisticated chemistry, they’ll be driven by creativity and fueled by spontaneity. in the world our technology enables, neither will have limits.  details  engineer to lead the effort in specifying and designing the infrastructure to support nusano’s linear particle accelerator. this engineer will also be responsible for equipment layout and routing of infrastructure. this position will act as the primary interface between nusano’s technical staff and the design/build firm hired to develop the facility. this position will gather requirements from the relevant stakeholders, and craft them into specification in industry standard formats. this position will review and assist with all designs proposed by the design/build firm, with particular attention to the process chilling and electrical power systems. the linac is a megawatt class device, and requires extensive support infrastructure to operate reliably. this position will report to the research and development department.  duties and responsibilities  1. gather requirements and specifications for the design of the following systems:  a. process cooling  b. ac power and generator backup  c. dielectric oil cooling and filtering 2. design cooling and filtering skids 3. design and specify manifolds and diagnostics 4. work between the engineering department and operations to ensure flow of information 5. act as primary point of interface between nusano and the design/build firm’s mechanical engineers 6. assist with equipment and facility layout 7. perform routing and optimization of  a. process cooling lines  b. ac power lines  c. control cables  d. compressed gasses 8. maintain and update solidworks model of facility 9. generate p&ids and other engineering documentation 10. support installation and commissioning of all systems  experience & qualifications requirements more than 2 years in similar position work in highly technical facility design and engineering of industrial process control systems familiarity with high-purity water filtration and conditioning fluent in solidworks ability to communicate effectively with subcontractors, consultants, and vendors highly organized education bachelor’s degree in mechanical engineering (or other relevant specialty) physical requirements must be able to lift, push and/or pull a maximum 50 pounds; work will be conducted in an office and the engineering lab; reach up to 6′ with the use of a ladder as needed. application we ask any interested applicants to submit their resumes to recruiting@nusano. com.",-1
"manufacturing engineer fox factory, inc. san diego, ca  position overview:  plans and coordinates manufacturing processes. develops and improves manufacturing processes by studying product and manufacturing methods.  responsibilities include but not limited to: develops, evaluates, and enhances manufacturing methods, utilizing knowledge of product design, materials and parts, fabrication processes, tooling and production equipment capabilities, assembly methods, and quality control standards analyzes and plans work force utilization, space requirements, and workflow, and designs layout of equipment and workspace for maximum efficiency confers with planning and design staff concerning product design and tooling to ensure efficient production methods confers with vendors to determine product specifications and arrange for purchase of equipment, materials, or parts, and evaluates products according to specifications and quality standards estimates production times, staffing requirements, and related costs to provide information for management decisions confers with management, engineering, and other staff regarding manufacturing capabilities, production schedules, and other considerations to facilitate production processes applies statistical methods to estimate future manufacturing requirements and potential evaluates manufacturing processes by designing and conducting research programs; applying knowledge of product design, fabrication, assembly, tooling, and materials; conferring with equipment vendors; soliciting observations from operators develops manufacturing processes by studying product requirements; researching, designing, modifying, and testing manufacturing methods and equipment; conferring with equipment vendors improves manufacturing efficiency by analyzing and planning work flow, space requirements, and equipment layout assures product and process quality by designing testing methods; testing finished- product and process capabilities; establishing standards; confirming manufacturing processes provides manufacturing decision-making information by calculating production, labor, and material costs; reviewing production schedules; estimating future requirement prepares product and process reports by collecting, analyzing, and summarizing information and trends provides manufacturing engineering information by answering questions and requests maintains product and company reputation by complying with government regulations keeps equipment operational by coordinating maintenance and repair services; following manufacturer's instructions and established procedures; requesting special service maintains product and process data base by writing computer programs; entering data completes design and development projects by training and guiding technicians maintains professional and technical knowledge by attending educational workshops; reviewing professional publications; establishing personal networks; participating in professional societies contributes to team effort by accomplishing related results as needed   requirements/ qualifications:  bs degree in manufacturing engineering /related field or equivalent experience in dealing with complexity leadership in assisting with change in process as required exposure to erp and its requirements strong skills with hardware specifications, manufacturing methods and procedures, manufacturing quality, product development, presenting technical information",1
"design verification engineer lightelligence boston, ma 02210  about lightelligence  lightelligence develops optical chips for high-performance computing tasks. by processing information with light, our chips offer orders of magnitude improvement in terms of high speed, low latency, and low power consumption compared to traditional electronic architectures.  if you'd like to build computational machines that are solving problems in ways that have never been done, we're looking for an experienced design verification engineer.  what you'll do at lightelligence: develop verification collateral suitable for a variety of design implementations ranging from fpgas to asics construct and execute test plans and perform coverage analysis work closely and collaboratively with rtl and analog designers  preferred qualifications: bs or greater in a relevant discipline such as computer science, electrical engineering, or computer engineering with at least 3 years of relevant work experience logic simulation skills including testbench design, stimulus generation, coverage closure, equivalence-checking and debug proficiency in uvm/vmm/erm and a hardware description language such as systemverilog strong software skills (c, c++, python) to develop and support infrastructure and flows experience with formal verification a plus experience with mixed-signal simulation and/or modeling a plus basic knowledge of deep neural networks and artificial intelligence a plus",-1
